"Step","Total Residents","At Home","School","Water","Religion","restaurant","Health Center","Socialize","Work","Business"
"0","50001","50001","0","0","0","0","0","0","0","0"
"1","50000","50000","0","0","0","0","0","0","0","0"
"2","49998","50000","0","0","0","0","0","0","0","0"
"3","49998","49998","0","0","0","0","0","0","0","0"
"4","49997","49997","0","0","0","0","0","0","0","0"
"5","49997","49997","0","0","0","0","0","0","0","0"
"6","49995","48210","0","281","87","152","241","373","576","75"
"7","49992","33585","0","2509","778","1315","2256","3450","5448","654"
"8","49989","28920","0","3213","954","1714","2931","4504","6920","836"
"9","49985","11801","4428","4427","1040","2518","4142","7048","13159","1426"
"10","49983","8168","7454","4375","933","2492","4005","6845","14234","1479"
"11","49982","10122","11037","3241","537","1814","2753","5254","13942","1282"
"12","49980","15009","9809","2324","358","1374","2052","3388","14949","719"
"13","49980","15418","9727","2242","373","1324","1966","3183","15086","661"
"14","49978","12579","12760","2172","338","1328","1877","3881","14236","807"
"15","49976","10617","15142","2074","339","1299","1832","4191","13608","876"
"16","49976","9325","17726","2261","448","1231","1965","3629","12529","862"
"17","49972","9706","17726","2252","549","1189","2043","3582","11996","933"
"18","49972","16220","12758","2018","564","1067","1943","3650","10820","932"
"19","49968","33203","0","1555","477","863","1767","3618","7689","800"
"20","49966","39292","0","1012","297","557","1129","2332","4847","502"
"21","49966","46852","0","329","85","181","354","824","1158","183"
"22","49962","49311","0","0","0","0","0","537","0","118"
"23","49961","49306","0","0","0","0","0","537","0","118"
"24","49959","49691","0","0","0","0","0","215","0","53"
"25","49954","49959","0","0","0","0","0","0","0","0"
"26","49954","49954","0","0","0","0","0","0","0","0"
"27","49952","49952","0","0","0","0","0","0","0","0"
"28","49949","49949","0","0","0","0","0","0","0","0"
"29","49949","49949","0","0","0","0","0","0","0","0"
"30","49947","41520","0","1136","406","608","1231","1818","2892","338"
"31","49944","32527","0","2344","802","1244","2581","3847","5878","721"
"32","49942","27121","0","3082","991","1602","3364","5091","7747","946"
"33","49940","15962","1896","3870","1181","2095","4361","7172","11970","1435"
"34","49938","9915","10875","2911","666","1711","3161","5406","13950","1345"
"35","49938","9806","11235","2700","640","1572","2966","5472","14183","1364"
"36","49937","14272","10098","1841","448","1265","2208","3896","14918","991"
"37","49934","15482","9900","1614","400","1157","2096","3322","15098","868"
"38","49933","13773","11483","1644","410","1143","2031","3765","14738","947"
"39","49933","9818","16352","1617","424","1050","2002","4141","13513","1016"
"40","49932","9065","17894","1675","485","1066","2169","3745","12872","962"
"41","49928","9618","17893","1658","618","1033","2228","3769","12102","1013"
"42","49927","24420","6549","1287","577","900","1986","3820","9470","919"
"43","49926","33024","0","1110","529","793","1915","3887","7798","871"
"44","49923","34738","0","991","483","702","1680","3501","7028","803"
"45","49923","48795","0","60","16","21","69","635","210","117"
"46","49922","49247","0","0","0","0","0","575","0","101"
"47","49922","49246","0","0","0","0","0","575","0","101"
"48","49922","49741","0","0","0","0","0","152","0","29"
"49","49920","49922","0","0","0","0","0","0","0","0"
"50","49919","49920","0","0","0","0","0","0","0","0"
"51","49916","49916","0","0","0","0","0","0","0","0"
"52","49916","49916","0","0","0","0","0","0","0","0"
"53","49915","49916","0","0","0","0","0","0","0","0"
"54","49915","39768","0","1072","530","627","1619","2235","3613","451"
"55","49912","32276","0","1829","906","1089","2886","4058","6095","776"
"56","49912","23384","0","2518","1236","1615","4064","6364","9415","1316"
"57","49912","17412","966","2846","1365","1914","4628","7527","11670","1584"
"58","49910","9501","10586","2302","803","1568","3546","6046","14112","1446"
"59","49910","9534","11634","1915","680","1361","3037","5915","14391","1443"
"60","49910","11435","11064","1660","594","1173","2774","5248","14703","1259"
"61","49909","15556","9838","1111","467","950","2360","3600","15188","839"
"62","49904","15047","10233","1104","475","960","2347","3760","15119","864"
"63","49903","9547","16916","1091","453","907","2141","4396","13390","1062"
"64","49902","9891","18044","1187","716","917","2376","3821","11883","1067"
"65","49899","9576","18042","1176","705","889","2298","3992","12113","1108"
"66","49898","26354","5037","882","589","739","2086","4106","9069","1037"
"67","49898","33053","0","818","540","699","1983","4039","7793","973"
"68","49897","34742","0","732","477","614","1759","3683","7016","875"
"69","49895","47045","0","150","120","141","367","864","1032","176"
"70","49895","49223","0","0","0","0","0","566","0","106"
"71","49892","49223","0","0","0","0","0","566","0","106"
"72","49892","49708","0","0","0","0","0","155","0","29"
"73","49889","49892","0","0","0","0","0","0","0","0"
"74","49889","49889","0","0","0","0","0","0","0","0"
"75","49885","49885","0","0","0","0","0","0","0","0"
"76","49885","49885","0","0","0","0","0","0","0","0"
"77","49884","49885","0","0","0","0","0","0","0","0"
"78","49884","37911","0","991","700","610","1895","2896","4263","618"
"79","49881","30708","0","1621","1090","1024","3048","4732","6694","964"
"80","49880","21334","0","2229","1345","1503","4380","7169","10457","1463"
"81","49879","11166","5070","2347","1277","1722","4790","8018","13746","1743"
"82","49874","7792","7880","2280","1144","1678","4624","7931","14738","1812"
"83","49873","9459","11615","1548","775","1193","3305","6054","14335","1589"
"84","49872","10494","11476","1327","683","1052","2936","5690","14739","1476"
"85","49872","15399","10025","849","495","774","2288","3740","15390","912"
"86","49871","14879","10450","833","493","781","2283","3917","15290","946"
"87","49869","9647","16436","814","467","747","2183","4670","13768","1139"
"88","49869","9257","18205","890","635","779","2481","4012","12532","1078"
"89","49868","9404","18205","863","700","788","2445","4119","12212","1132"
"90","49868","16749","12481","776","638","666","2271","4163","11000","1124"
"91","49867","33220","0","698","536","550","2006","3934","7907","1017"
"92","49863","42403","0","332","263","267","967","1775","3442","418"
"93","49862","47831","0","77","69","65","246","723","713","138"
"94","49860","49233","0","0","0","0","0","513","0","114"
"95","49857","49230","0","0","0","0","0","513","0","114"
"96","49857","49271","0","0","0","0","0","479","0","107"
"97","49854","49857","0","0","0","0","0","0","0","0"
"98","49851","49854","0","0","0","0","0","0","0","0"
"99","49851","49851","0","0","0","0","0","0","0","0"
"100","49846","49851","0","0","0","0","0","0","0","0"
"101","49844","49844","0","0","0","0","0","0","0","0"
"102","49843","40289","0","758","560","434","1550","2359","3437","457"
"103","49841","33704","0","1338","941","739","2600","3998","5747","776"
"104","49840","23412","0","2088","1338","1234","4180","6644","9626","1318"
"105","49838","8244","7048","2480","1222","1551","4780","8142","14574","1797"
"106","49834","8504","9050","2222","1045","1372","4229","7259","14463","1694"
"107","49834","9641","11689","1681","756","1027","3291","5969","14272","1508"
"108","49832","12210","11094","1270","610","821","2718","5085","14799","1227"
"109","49831","15163","10127","986","523","653","2266","3840","15342","931"
"110","49829","12382","13297","929","500","588","2057","4513","14505","1060"
"111","49828","9459","16942","896","522","596","2132","4608","13612","1061"
"112","49823","9132","18265","1007","658","617","2333","4163","12646","1007"
"113","49822","9556","18263","1060","773","609","2511","4016","12007","1028"
"114","49819","31136","1390","783","577","531","2131","4019","8262","990"
"115","49818","32943","0","763","553","520","2099","4034","7931","975"
"116","49814","38450","0","524","368","358","1453","2731","5294","636"
"117","49813","46925","0","143","104","104","411","853","1090","183"
"118","49812","49136","0","0","0","0","0","548","0","128"
"119","49808","49132","0","0","0","0","0","548","0","128"
"120","49807","49309","0","0","0","0","0","411","0","88"
"121","49805","49807","0","0","0","0","0","0","0","0"
"122","49804","49804","0","0","0","0","0","0","0","0"
"123","49804","49804","0","0","0","0","0","0","0","0"
"124","49801","49804","0","0","0","0","0","0","0","0"
"125","49800","49801","0","0","0","0","0","0","0","0"
"126","49797","40091","0","1240","630","439","1615","4113","621","1048"
"127","49795","32237","0","2261","1041","772","3016","7415","1154","1901"
"128","49795","20043","0","3575","1408","1373","4999","12995","2002","3400"
"129","49793","18958","0","3666","1458","1420","5176","13535","2055","3527"
"130","49792","10541","0","4156","1842","1797","6946","16902","2755","4853"
"131","49792","11265","0","3947","1868","1761","6918","16474","2694","4865"
"132","49789","12503","0","3266","1684","1585","6153","17021","2771","4809"
"133","49787","15438","0","2520","1631","1550","5888","16071","2666","4023"
"134","49785","13369","0","2009","1374","1356","5160","18814","2997","4706"
"135","49780","12666","0","1934","1354","1315","4994","19573","3068","4881"
"136","49779","13052","0","2309","1702","1507","5924","18025","2618","4643"
"137","49776","12651","0","2348","2060","1556","6209","17608","2519","4825"
"138","49776","16527","0","1943","1672","1276","5127","16295","2498","4438"
"139","49771","27213","0","978","787","635","2758","11959","2287","3159"
"140","49771","33158","0","778","602","488","2101","8760","1591","2293"
"141","49769","48021","0","4","3","0","11","1404","1","325"
"142","49768","48052","0","0","0","0","0","1392","0","325"
"143","49767","48051","0","0","0","0","0","1392","0","325"
"144","49767","49427","0","0","0","0","0","274","0","66"
"145","49764","49764","0","0","0","0","0","0","0","0"
"146","49762","49762","0","0","0","0","0","0","0","0"
"147","49759","49762","0","0","0","0","0","0","0","0"
"148","49759","49759","0","0","0","0","0","0","0","0"
"149","49758","49758","0","0","0","0","0","0","0","0"
"150","49758","37502","0","1130","3304","331","1794","4564","0","1133"
"151","49756","29037","0","2013","5326","618","3046","7800","0","1916"
"152","49756","21875","0","2762","6624","902","4023","10804","0","2766"
"153","49756","14599","0","3343","8208","1174","5016","13745","0","3671"
"154","49752","10434","0","3445","9193","1359","5856","15038","0","4431"
"155","49749","12098","0","2929","8271","1214","5283","15372","0","4582"
"156","49748","14408","0","2495","8188","1096","5107","14447","0","4008"
"157","49747","16143","0","2144","8163","997","5068","13707","0","3526"
"158","49745","15464","0","2174","8154","989","5075","14281","0","3610"
"159","49745","13501","0","1828","7390","917","4554","17161","0","4394"
"160","49743","13326","0","1984","8247","1013","5164","15836","0","4175"
"161","49740","12689","0","2029","9114","1073","5578","15017","0","4243"
"162","49738","14360","0","1800","8184","961","4997","15200","0","4238"
"163","49737","28587","0","883","4144","445","2573","10252","0","2854"
"164","49737","43136","0","346","1541","171","977","2818","0","748"
"165","49736","44607","0","287","1212","133","758","2168","0","572"
"166","49735","48305","0","0","0","0","0","1139","0","291"
"167","49735","48305","0","0","0","0","0","1139","0","291"
"168","49734","48834","0","0","0","0","0","709","0","192"
"169","49733","49733","0","0","0","0","0","0","0","0"
"170","49730","49733","0","0","0","0","0","0","0","0"
"171","49730","49730","0","0","0","0","0","0","0","0"
"172","49729","49729","0","0","0","0","0","0","0","0"
"173","49726","49726","0","0","0","0","0","0","0","0"
"174","49726","38353","0","951","565","1004","1747","2670","3955","481"
"175","49722","30721","0","1617","941","1670","2919","4481","6530","843"
"176","49720","28521","0","1784","1021","1902","3248","5005","7298","943"
"177","49720","15889","1868","2363","1208","2740","4530","7438","12230","1454"
"178","49718","9492","10817","1841","682","2135","3422","5688","14231","1410"
"179","49716","9522","11567","1645","612","1907","3031","5615","14407","1410"
"180","49716","15200","10025","1035","415","1397","2154","3632","15066","792"
"181","49714","15446","9950","967","416","1371","2096","3554","15137","779"
"182","49712","13289","12077","948","426","1350","1981","4085","14678","878"
"183","49712","10606","15138","862","385","1263","1920","4659","13875","1004"
"184","49710","8730","17976","980","498","1337","2102","4014","13126","949"
"185","49709","9556","17975","1020","650","1350","2248","3843","12039","1029"
"186","49708","25353","5821","753","561","1089","1935","3957","9293","946"
"187","49702","33091","0","655","524","931","1867","3891","7839","904"
"188","49702","34066","0","617","487","886","1747","3677","7369","853"
"189","49701","48849","0","14","6","23","32","567","99","111"
"190","49700","49059","0","0","0","0","0","540","0","102"
"191","49700","49058","0","0","0","0","0","540","0","102"
"192","49700","49247","0","0","0","0","0","387","0","66"
"193","49697","49700","0","0","0","0","0","0","0","0"
"194","49694","49697","0","0","0","0","0","0","0","0"
"195","49694","49694","0","0","0","0","0","0","0","0"
"196","49694","49694","0","0","0","0","0","0","0","0"
"197","49694","49694","0","0","0","0","0","0","0","0"
"198","49692","38472","0","934","605","883","1730","2628","3920","522"
"199","49691","32394","0","1440","909","1375","2678","4048","6059","789"
"200","49690","26966","0","1896","1113","1806","3477","5347","8044","1042"
"201","49686","13391","3478","2469","1232","2385","4581","7464","13069","1621"
"202","49685","8488","9283","2186","934","2088","3956","6658","14515","1578"
"203","49684","9561","11318","1806","711","1726","3259","5632","14237","1435"
"204","49682","10504","11312","1484","618","1483","2757","5470","14728","1326"
"205","49681","15251","10027","975","458","1124","2147","3630","15279","790"
"206","49677","11803","13775","861","421","1069","2015","4471","14286","976"
"207","49675","9151","17231","959","447","1095","2108","4238","13451","995"
"208","49675","8855","18015","1000","506","1131","2248","3962","12976","982"
"209","49672","9341","18012","1001","652","1090","2238","4011","12269","1058"
"210","49669","21330","8748","853","628","984","2060","4010","10071","988"
"211","49667","32909","0","737","512","893","1877","3924","7866","949"
"212","49666","40449","0","438","299","532","1092","2197","4134","525"
"213","49666","48083","0","65","41","65","132","694","429","157"
"214","49664","48967","0","0","0","0","0","568","0","131"
"215","49664","48965","0","0","0","0","0","568","0","131"
"216","49664","49625","0","0","0","0","0","32","0","7"
"217","49662","49662","0","0","0","0","0","0","0","0"
"218","49656","49656","0","0","0","0","0","0","0","0"
"219","49656","49656","0","0","0","0","0","0","0","0"
"220","49655","49656","0","0","0","0","0","0","0","0"
"221","49654","49655","0","0","0","0","0","0","0","0"
"222","49653","43957","0","432","348","354","879","1342","2064","278"
"223","49652","34406","0","1256","891","960","2384","3613","5452","691"
"224","49650","27148","0","1881","1135","1486","3525","5452","7982","1043"
"225","49648","11364","4763","2479","1254","2080","4641","7791","13623","1653"
"226","49648","8720","9420","2139","953","1797","3862","6781","14376","1600"
"227","49646","9674","11372","1715","769","1476","3179","5776","14178","1509"
"228","49645","12256","10843","1270","618","1160","2653","4753","14846","1247"
"229","49644","15144","10052","997","493","945","2305","3602","15247","859"
"230","49643","14348","10938","976","465","932","2262","3833","14990","900"
"231","49642","10087","16033","903","414","847","2066","4600","13662","1031"
"232","49640","8789","18225","967","482","892","2140","4098","13067","982"
"233","49638","9552","18224","1002","687","915","2349","3944","11924","1043"
"234","49633","10023","17536","971","682","864","2289","4144","12064","1065"
"235","49633","33078","0","695","543","669","1834","4025","7861","928"
"236","49633","36564","0","555","445","546","1482","3181","6157","703"
"237","49632","45355","0","235","179","234","582","1095","1725","228"
"238","49631","48977","0","0","0","0","0","548","0","107"
"239","49628","48973","0","0","0","0","0","548","0","107"
"240","49625","49273","0","0","0","0","0","291","0","61"
"241","49623","49625","0","0","0","0","0","0","0","0"
"242","49622","49622","0","0","0","0","0","0","0","0"
"243","49621","49622","0","0","0","0","0","0","0","0"
"244","49620","49620","0","0","0","0","0","0","0","0"
"245","49614","49620","0","0","0","0","0","0","0","0"
"246","49612","40550","0","822","480","465","1442","2121","3310","424"
"247","49609","31906","0","1627","928","966","2815","4261","6294","815"
"248","49607","23370","0","2363","1249","1488","4038","6444","9416","1239"
"249","49603","10961","4973","2733","1268","1840","4567","7863","13750","1652"
"250","49603","9549","11452","1950","769","1219","3313","5797","14115","1439"
"251","49601","9231","11786","1764","734","1101","3105","5994","14417","1471"
"252","49598","14713","10203","1127","519","736","2309","3921","15182","888"
"253","49595","15293","10034","989","501","710","2259","3690","15286","836"
"254","49594","13451","12005","950","465","688","2149","4204","14770","913"
"255","49592","9801","16423","917","451","664","2117","4487","13709","1025"
"256","49592","8862","18185","1029","586","709","2326","4033","12850","1012"
"257","49588","9074","18185","1021","725","699","2393","4087","12275","1133"
"258","49584","19943","9770","929","641","673","2217","4066","10297","1052"
"259","49584","33008","0","807","520","621","1880","3954","7870","924"
