"Step","Susciptable","Exposed","LatentTB","LatentExposed","InfectedTB","Recovered","Dead"
"0","31952","0","17065","0","984","0","0"
"1","31952","0","17065","0","984","0","1"
"2","31671","280","17065","165","984","0","3"
"3","31283","667","17064","353","984","0","3"
"4","31109","841","17063","441","984","0","4"
"5","31035","915","17063","486","984","0","4"
"6","30889","1059","17063","568","984","0","6"
"7","30873","1075","17063","579","984","0","9"
"8","30777","1166","17061","624","985","0","12"
"9","30663","1280","17061","691","985","0","16"
"10","30492","1448","17057","789","986","0","18"
"11","30371","1568","17057","860","986","0","19"
"12","30079","1860","17057","990","986","0","21"
"13","29902","2037","17055","1069","986","0","21"
"14","29753","2186","17055","1155","986","0","23"
"15","29528","2408","17054","1272","986","0","25"
"16","29168","2768","17054","1472","986","0","25"
"17","29004","2932","17054","1567","986","0","29"
"18","28903","3031","17052","1622","986","0","29"
"19","28889","3045","17052","1624","986","0","33"
"20","28764","3170","17047","1674","987","0","35"
"21","28712","3220","17047","1712","987","0","35"
"22","28648","3281","17046","1733","987","0","39"
"23","28602","3327","17044","1758","989","0","40"
"24","28584","3343","17043","1763","989","0","42"
"25","28548","3379","17043","1795","989","0","47"
"26","28498","3424","17043","1823","989","0","47"
"27","28464","3456","17043","1837","989","0","49"
"28","28442","3478","17042","1850","990","0","52"
"29","28421","3497","17040","1858","991","0","52"
"30","28414","3504","17040","1862","991","0","54"
"31","28380","3536","17037","1878","991","0","57"
"32","28326","3589","17036","1919","991","0","59"
"33","28243","3672","17036","1960","991","0","61"
"34","28187","3727","17035","1992","991","0","63"
"35","28009","3904","17034","2091","991","0","63"
"36","27908","4004","17034","2142","991","0","64"
"37","27814","4095","17034","2202","991","0","67"
"38","27750","4159","17034","2253","991","0","68"
"39","27577","4331","17034","2338","991","0","68"
"40","27484","4423","17034","2393","991","0","69"
"41","27314","4593","17034","2482","991","0","73"
"42","27242","4662","17033","2513","991","0","74"
"43","27202","4701","17032","2533","991","0","75"
"44","27176","4727","17032","2544","991","0","78"
"45","27157","4744","17031","2552","991","0","78"
"46","27152","4749","17031","2554","991","0","79"
"47","27136","4764","17031","2557","991","0","79"
"48","27110","4790","17031","2566","991","0","79"
"49","27101","4797","17031","2570","991","0","81"
"50","27090","4807","17031","2574","991","0","82"
"51","27086","4811","17031","2574","991","0","85"
"52","27065","4829","17031","2580","991","0","85"
"53","27061","4832","17031","2580","991","0","86"
"54","27056","4837","17031","2582","991","0","86"
"55","27038","4855","17031","2596","991","0","89"
"56","27000","4891","17030","2607","991","0","89"
"57","26947","4944","17030","2640","991","0","89"
"58","26831","5058","17030","2704","991","0","91"
"59","26696","5193","17030","2777","991","0","91"
"60","26688","5201","17030","2778","991","0","91"
"61","26614","5275","17029","2815","992","0","92"
"62","26495","5390","17027","2904","992","0","97"
"63","26438","5447","17027","2929","992","0","98"
"64","26300","5583","17027","3009","992","0","99"
"65","26264","5619","17026","3027","993","0","102"
"66","26151","5731","17023","3092","994","0","103"
"67","26129","5752","17023","3109","994","0","103"
"68","26102","5778","17023","3123","994","0","104"
"69","26090","5790","17021","3126","994","0","106"
"70","26088","5792","17021","3126","994","0","106"
"71","26072","5805","17020","3130","995","0","109"
"72","26069","5808","17020","3133","995","0","109"
"73","26067","5810","17020","3135","995","0","112"
"74","26058","5816","17020","3137","995","0","112"
"75","26054","5819","17017","3138","995","0","116"
"76","26048","5825","17017","3138","995","0","116"
"77","26044","5829","17017","3139","995","0","117"
"78","26041","5832","17016","3138","995","0","117"
"79","26021","5849","17016","3145","995","0","120"
"80","25974","5896","17014","3172","996","0","121"
"81","25967","5903","17013","3179","996","0","122"
"82","25929","5941","17013","3200","996","0","127"
"83","25783","6082","17012","3258","996","0","128"
"84","25719","6145","17012","3279","996","0","129"
"85","25691","6173","17011","3287","997","0","129"
"86","25626","6238","17010","3337","997","0","130"
"87","25529","6335","17010","3382","997","0","132"
"88","25446","6417","17009","3415","997","0","132"
"89","25366","6496","17009","3459","997","0","133"
"90","25343","6519","17009","3468","997","0","133"
"91","25326","6536","17008","3480","998","0","134"
"92","25294","6563","17008","3494","998","0","138"
"93","25294","6563","17008","3494","998","0","139"
"94","25289","6566","17007","3496","998","0","141"
"95","25283","6572","17006","3500","999","0","144"
"96","25279","6575","17004","3502","999","0","144"
"97","25272","6582","17004","3504","999","0","147"
"98","25265","6586","17001","3507","999","0","150"
"99","25265","6586","17001","3508","999","0","150"
"100","25261","6590","17001","3509","999","0","155"
"101","25256","6588","17000","3511","1000","0","157"
"102","25255","6589","17000","3513","1000","0","158"
"103","25246","6598","16999","3517","1000","0","160"
"104","25214","6628","16998","3532","1000","0","161"
"105","25209","6633","16998","3533","1000","0","163"
"106","25140","6702","16995","3558","1001","0","167"
"107","25090","6750","16993","3585","1001","0","167"
"108","25074","6766","16993","3599","1001","0","169"
"109","25025","6812","16993","3620","1001","0","170"
"110","25008","6829","16993","3634","1001","0","172"
"111","24958","6879","16990","3663","1002","0","173"
"112","24865","6971","16989","3719","1003","0","178"
"113","24816","7017","16987","3736","1003","0","179"
"114","24733","7098","16983","3774","1005","0","182"
"115","24725","7106","16982","3778","1005","0","183"
"116","24708","7120","16980","3792","1006","0","187"
"117","24702","7125","16980","3793","1006","0","188"
"118","24700","7126","16980","3795","1006","0","189"
"119","24698","7125","16979","3797","1006","0","193"
"120","24693","7130","16978","3798","1006","0","194"
"121","24691","7132","16978","3800","1006","0","196"
"122","24685","7136","16977","3803","1006","0","197"
"123","24682","7139","16976","3805","1007","0","197"
"124","24680","7141","16976","3805","1007","0","200"
"125","24677","7142","16976","3805","1006","0","201"
"126","24673","7144","16973","3808","1007","0","204"
"127","24639","7178","16971","3827","1007","0","206"
"128","24618","7199","16970","3839","1008","0","206"
"129","24596","7221","16968","3846","1008","0","208"
"130","24518","7298","16968","3886","1008","0","209"
"131","24500","7316","16968","3890","1008","0","209"
"132","24450","7366","16968","3913","1008","0","212"
"133","24408","7404","16966","3937","1009","0","214"
"134","24380","7430","16966","3946","1009","0","216"
"135","24356","7454","16966","3957","1009","0","221"
"136","24325","7482","16963","3970","1010","0","222"
"137","24264","7539","16963","4002","1010","0","225"
"138","24248","7555","16963","4011","1010","0","225"
"139","24221","7582","16963","4021","1010","0","230"
"140","24209","7591","16961","4029","1010","0","230"
"141","24209","7591","16961","4031","1010","0","232"
"142","24203","7595","16961","4033","1010","0","233"
"143","24200","7598","16959","4033","1010","0","234"
"144","24199","7599","16959","4033","1010","0","234"
"145","24199","7599","16959","4035","1010","0","237"
"146","24193","7602","16956","4036","1011","0","239"
"147","24192","7603","16956","4037","1011","0","242"
"148","24188","7606","16954","4039","1011","0","242"
"149","24187","7607","16953","4040","1011","0","243"
"150","24187","7607","16953","4040","1011","0","243"
"151","24171","7623","16953","4047","1011","0","245"
"152","24148","7645","16952","4062","1011","0","245"
"153","24098","7695","16952","4086","1011","0","245"
"154","24040","7753","16952","4119","1011","0","249"
"155","23984","7805","16949","4142","1011","0","252"
"156","23974","7815","16948","4150","1012","0","253"
"157","23966","7823","16947","4155","1012","0","254"
"158","23920","7868","16947","4184","1012","0","256"
"159","23896","7891","16946","4206","1012","0","256"
"160","23852","7933","16944","4228","1014","0","258"
"161","23818","7967","16943","4234","1015","0","261"
"162","23771","8009","16943","4256","1015","0","263"
"163","23758","8022","16943","4263","1015","0","264"
"164","23735","8045","16942","4273","1015","0","264"
"165","23724","8055","16942","4276","1015","0","265"
"166","23723","8055","16942","4279","1015","0","266"
"167","23720","8058","16942","4282","1015","0","266"
"168","23719","8058","16941","4284","1016","0","267"
"169","23714","8063","16940","4285","1016","0","268"
"170","23712","8065","16940","4286","1016","0","271"
"171","23710","8065","16939","4287","1016","0","271"
"172","23708","8066","16938","4287","1017","0","272"
"173","23707","8067","16938","4287","1017","0","275"
"174","23702","8069","16938","4290","1017","0","275"
"175","23674","8094","16937","4296","1017","0","279"
"176","23674","8094","16937","4296","1017","0","281"
"177","23643","8124","16936","4318","1017","0","281"
"178","23597","8170","16936","4342","1017","0","283"
"179","23560","8205","16933","4361","1018","0","285"
"180","23497","8268","16933","4391","1018","0","285"
"181","23465","8300","16932","4405","1019","0","287"
"182","23423","8340","16931","4426","1020","0","289"
"183","23368","8394","16930","4462","1020","0","289"
"184","23305","8456","16929","4488","1020","0","291"
"185","23295","8466","16929","4496","1020","0","292"
"186","23231","8529","16928","4521","1021","0","293"
"187","23224","8535","16928","4523","1021","0","299"
"188","23200","8556","16925","4531","1021","0","299"
