Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
0 0.0 0.0 0.0 0.0
24 57.53 32.25999999999999 10.209999999999999 0.05
48 55.970000000000006 33.540000000000006 10.469999999999999 0.06999999999999999
72 54.970000000000006 34.44999999999999 10.48 0.15
96 54.099999999999994 35.17 10.569999999999999 0.21000000000000002
120 52.980000000000004 36.120000000000005 10.71 0.24
144 51.959999999999994 37.05 10.779999999999998 0.26
168 50.86999999999999 37.95 10.92 0.30999999999999994
192 50.7 38.089999999999996 10.92 0.34
216 50.449999999999996 38.3 10.899999999999999 0.4000000000000001
240 50.260000000000005 38.46000000000001 10.879999999999997 0.4500000000000001
264 49.94 38.730000000000004 10.899999999999999 0.48000000000000015
288 49.669999999999995 38.959999999999994 10.899999999999999 0.52
312 49.48 39.11 10.87 0.59
336 49.05 39.43 10.939999999999998 0.63
360 48.86000000000001 39.559999999999995 10.979999999999999 0.65
384 48.71 39.669999999999995 10.95 0.7200000000000001
408 48.650000000000006 39.660000000000004 10.969999999999999 0.7700000000000001
432 48.54 39.76 10.92 0.8300000000000002
456 48.49 39.78 10.899999999999999 0.8800000000000002
480 48.35 39.89 10.879999999999997 0.9299999999999999
504 48.19 40.02 10.87 0.9700000000000004
528 48.08 40.11 10.86 0.9999999999999999
552 47.89000000000001 40.26 10.86 1.0399999999999998
576 47.86 40.29 10.799999999999999 1.0999999999999999
600 47.78000000000001 40.339999999999996 10.799999999999999 1.1299999999999997
624 47.67 40.400000000000006 10.83 1.15
648 47.51 40.510000000000005 10.819999999999999 1.2099999999999997
672 47.32999999999999 40.65 10.75 1.32
696 47.28 40.66 10.729999999999999 1.38
720 47.22999999999999 40.69 10.700000000000001 1.4300000000000002
744 47.17000000000001 40.739999999999995 10.68 1.4600000000000002
768 47.10000000000001 40.800000000000004 10.669999999999998 1.4800000000000002
792 47.08 40.82000000000001 10.64 1.5100000000000002
816 46.86 41.010000000000005 10.66 1.5200000000000002
840 46.790000000000006 41.03999999999999 10.629999999999999 1.5900000000000005
864 46.73 41.1 10.56 1.6600000000000004
888 46.67999999999999 41.14 10.549999999999999 1.6800000000000002
912 46.629999999999995 41.19 10.489999999999998 1.7400000000000007
936 46.57999999999999 41.23 10.459999999999999 1.7800000000000002
960 46.559999999999995 41.24 10.43 1.82
984 46.50999999999999 41.28 10.37 1.8900000000000001
1008 46.4 41.35999999999999 10.389999999999999 1.9
1032 46.349999999999994 41.4 10.36 1.94
1056 46.31999999999999 41.43000000000001 10.329999999999998 1.9700000000000002
1080 46.290000000000006 41.43 10.34 1.9900000000000002
1104 46.27 41.43 10.3 2.05
1128 46.22 41.44 10.3 2.0899999999999994
1152 46.19000000000001 41.45 10.25 2.1599999999999993
1176 46.150000000000006 41.459999999999994 10.25 2.1899999999999995
1200 46.13 41.47 10.229999999999999 2.2199999999999993
1224 46.12 41.47 10.209999999999999 2.2499999999999996
1248 46.07 41.49999999999999 10.19 2.2899999999999996
1272 46.019999999999996 41.54 10.18 2.3099999999999996
1296 46.0 41.550000000000004 10.149999999999999 2.3499999999999996
1320 45.96 41.56000000000001 10.16 2.3699999999999997
1344 45.949999999999996 41.56000000000001 10.149999999999999 2.3899999999999997
1368 45.940000000000005 41.53000000000001 10.149999999999999 2.4299999999999997
1392 45.870000000000005 41.56000000000001 10.12 2.5
1416 45.85 41.57 10.069999999999999 2.56
1440 45.839999999999996 41.580000000000005 10.02 2.6100000000000003
1464 45.839999999999996 41.57 9.94 2.6999999999999997
1488 45.82999999999999 41.580000000000005 9.869999999999997 2.7699999999999996
1512 45.82 41.57 9.819999999999999 2.8400000000000003
1536 45.81000000000001 41.550000000000004 9.809999999999999 2.8800000000000003
