Day(90%HIV+Population) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
0 0.0 0.0 0.0 0.0
24 53.17999999999999 9.28 37.540000000000006 0.15000000000000005
48 48.690000000000005 10.359999999999998 40.63 0.47000000000000003
72 45.67 11.01 42.779999999999994 0.6900000000000001
96 42.87 11.75 44.60999999999999 0.9199999999999998
120 41.19 12.22 45.65 1.09
144 38.85999999999999 12.629999999999999 47.36999999999999 1.29
168 35.88999999999999 13.350000000000001 49.35000000000001 1.5600000000000003
192 35.269999999999996 13.469999999999999 49.6 1.8100000000000005
216 34.760000000000005 13.61 49.74 2.04
240 34.239999999999995 13.74 49.89 2.28
264 33.76 13.829999999999998 50.01000000000001 2.5500000000000003
288 33.47 13.77 50.12000000000001 2.79
312 32.85 13.889999999999997 50.25999999999999 3.150000000000001
336 32.010000000000005 14.079999999999998 50.58999999999999 3.4700000000000006
360 31.669999999999998 14.229999999999999 50.42 3.83
384 31.470000000000002 14.279999999999998 50.239999999999995 4.159999999999999
408 31.229999999999997 14.149999999999999 50.39 4.379999999999999
432 30.94 14.17 50.39 4.65
456 30.800000000000004 14.17 50.2 4.9799999999999995
480 30.490000000000006 14.24 50.23000000000001 5.189999999999999
504 30.06 14.34 50.239999999999995 5.510000000000001
528 29.9 14.350000000000001 50.0 5.900000000000001
552 29.76 14.189999999999998 50.040000000000006 6.160000000000001
576 29.669999999999995 14.189999999999998 49.830000000000005 6.460000000000002
600 29.57 14.209999999999997 49.63999999999999 6.7299999999999995
624 29.409999999999997 14.249999999999998 49.35999999999999 7.13
648 29.300000000000004 14.239999999999997 49.269999999999996 7.339999999999999
672 29.04 14.29 49.15999999999999 7.66
696 28.999999999999993 14.009999999999998 49.22 7.919999999999999
720 28.93 14.02 49.00000000000001 8.2
744 28.79 14.029999999999998 48.8 8.53
768 28.690000000000005 14.04 48.620000000000005 8.799999999999999
792 28.569999999999997 14.059999999999997 48.410000000000004 9.11
816 28.42 13.969999999999999 48.37 9.389999999999999
840 28.290000000000003 13.989999999999997 48.150000000000006 9.719999999999999
864 28.159999999999997 14.029999999999998 47.96 10.0
888 28.099999999999998 14.039999999999997 47.72 10.29
912 28.050000000000004 14.059999999999997 47.440000000000005 10.600000000000001
936 28.000000000000004 14.099999999999996 47.199999999999996 10.85
960 27.870000000000005 13.969999999999999 47.17000000000001 11.14
984 27.800000000000004 13.979999999999999 46.900000000000006 11.469999999999999
1008 27.66 13.999999999999996 46.78 11.71
1032 27.58 14.009999999999998 46.53 12.03
1056 27.529999999999998 14.009999999999998 46.2 12.410000000000002
1080 27.500000000000004 13.95 45.89 12.809999999999999
1104 27.460000000000008 13.900000000000002 45.55 13.240000000000002
1128 27.430000000000003 13.91 45.24 13.569999999999999
1152 27.379999999999992 13.919999999999998 44.89000000000001 13.96
1176 27.32 13.919999999999998 44.63 14.279999999999998
1200 27.26 13.930000000000001 44.279999999999994 14.679999999999998
1224 27.22 13.750000000000002 44.18 15.0
1248 27.169999999999995 13.76 43.85000000000001 15.370000000000001
1272 27.139999999999997 13.76 43.629999999999995 15.620000000000001
