Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
0 0.0 0.0 0.0 0.0
24 57.620000000000005 31.770000000000003 10.759999999999998 0.030000000000000002
48 55.910000000000004 33.23 10.95 0.09000000000000001
72 54.85000000000001 34.14 11.059999999999999 0.13000000000000003
96 53.78999999999999 35.050000000000004 11.15 0.19000000000000003
120 52.78 35.90999999999999 11.27 0.21999999999999997
144 51.51000000000001 37.04 11.379999999999999 0.25
168 50.46000000000001 37.96000000000001 11.459999999999999 0.30000000000000004
192 50.019999999999996 38.32 11.49 0.35000000000000003
216 49.79 38.53 11.479999999999999 0.38
240 49.61000000000001 38.67 11.49 0.41000000000000003
264 49.29 38.95 11.459999999999999 0.48000000000000004
288 49.07 39.13 11.49 0.49
312 48.66 39.5 11.500000000000002 0.52
336 48.39000000000001 39.699999999999996 11.540000000000001 0.55
360 48.14 39.879999999999995 11.59 0.5700000000000001
384 47.91999999999999 40.07000000000001 11.57 0.6200000000000001
408 47.79999999999999 40.160000000000004 11.579999999999998 0.6400000000000001
432 47.65 40.300000000000004 11.559999999999999 0.67
456 47.589999999999996 40.320000000000014 11.57 0.7
480 47.339999999999996 40.55000000000001 11.55 0.74
504 47.13 40.73 11.540000000000001 0.7799999999999999
528 47.120000000000005 40.739999999999995 11.520000000000001 0.8
552 47.03000000000001 40.82 11.48 0.8499999999999999
576 46.93000000000001 40.90999999999999 11.46 0.88
600 46.84000000000001 41.0 11.43 0.91
624 46.75 41.06999999999999 11.41 0.95
648 46.599999999999994 41.22 11.37 0.9899999999999998
672 46.489999999999995 41.32000000000001 11.31 1.0599999999999998
696 46.400000000000006 41.35999999999999 11.31 1.1099999999999999
720 46.33999999999999 41.410000000000004 11.31 1.1199999999999999
744 46.27 41.449999999999996 11.300000000000002 1.16
768 46.17999999999999 41.529999999999994 11.27 1.2
792 46.12 41.58 11.239999999999998 1.24
816 46.080000000000005 41.599999999999994 11.16 1.3399999999999999
840 46.02 41.629999999999995 11.17 1.3599999999999997
864 45.970000000000006 41.669999999999995 11.129999999999999 1.4099999999999997
888 45.96 41.669999999999995 11.09 1.4600000000000002
912 45.93 41.660000000000004 11.079999999999998 1.5099999999999998
936 45.86 41.669999999999995 11.079999999999998 1.5699999999999998
960 45.830000000000005 41.690000000000005 11.04 1.6199999999999999
984 45.77000000000001 41.699999999999996 11.02 1.69
1008 45.71000000000001 41.739999999999995 11.03 1.6999999999999997
1032 45.7 41.75 10.999999999999998 1.73
1056 45.65 41.769999999999996 10.979999999999999 1.78
1080 45.65 41.760000000000005 10.92 1.8499999999999999
1104 45.629999999999995 41.78 10.83 1.9399999999999997
1128 45.629999999999995 41.75 10.81 1.9899999999999998
1152 45.58999999999999 41.769999999999996 10.77 2.05
1176 45.51 41.82 10.79 2.06
1200 45.51 41.8 10.759999999999998 2.11
1224 45.46 41.839999999999996 10.729999999999999 2.15
1248 45.440000000000005 41.83 10.739999999999998 2.17
1272 45.42 41.83 10.69 2.2399999999999998
1296 45.400000000000006 41.839999999999996 10.62 2.32
1320 45.339999999999996 41.89999999999999 10.59 2.35
1344 45.300000000000004 41.91 10.53 2.44
1368 45.269999999999996 41.90999999999999 10.540000000000001 2.46
1392 45.26 41.90999999999999 10.500000000000002 2.5100000000000002
1416 45.24 41.92999999999999 10.469999999999999 2.54
1440 45.21999999999999 41.93999999999999 10.45 2.5700000000000003
1464 45.20999999999999 41.949999999999996 10.41 2.6100000000000003
1488 45.20999999999999 41.91 10.45 2.6100000000000003
1512 45.18 41.92999999999999 10.43 2.64
1536 45.129999999999995 41.97 10.41 2.67
1560 45.11999999999999 41.97 10.389999999999999 2.7
1584 45.099999999999994 41.980000000000004 10.38 2.7199999999999993
1608 45.019999999999996 42.03 10.38 2.7499999999999996
1632 44.95 42.059999999999995 10.389999999999999 2.78
1656 44.93000000000001 42.08 10.32 2.849999999999999
1680 44.92 42.04999999999999 10.280000000000001 2.9299999999999993
1704 44.92 42.04999999999999 10.26 2.9499999999999993
1728 44.88999999999999 42.08 10.209999999999999 2.999999999999999
