Day(100.0%OfPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
0 0.0 0.0 0.0 0.0
24 57.89000000000001 32.00000000000001 10.25 0.04
48 55.63 34.04 10.41 0.1
72 54.52 35.040000000000006 10.489999999999998 0.13
96 53.81 35.63999999999999 10.53 0.20000000000000004
120 52.779999999999994 36.6 10.53 0.27
144 51.57000000000001 37.62 10.69 0.3
168 50.38 38.66 10.79 0.35000000000000003
192 50.109999999999985 38.839999999999996 10.8 0.4300000000000001
216 49.849999999999994 39.08 10.81 0.4400000000000001
240 49.55 39.32 10.83 0.48000000000000004
264 49.3 39.53 10.83 0.52
288 49.07 39.71000000000001 10.8 0.6
312 48.839999999999996 39.910000000000004 10.79 0.64
336 48.35999999999999 40.339999999999996 10.81 0.67
360 48.29 40.38 10.79 0.72
384 48.13000000000001 40.52 10.79 0.74
408 47.99 40.64 10.76 0.79
432 47.96 40.66 10.75 0.8099999999999999
456 47.89 40.72 10.75 0.8200000000000001
480 47.72 40.849999999999994 10.76 0.8499999999999999
504 47.5 41.07 10.72 0.89
528 47.41 41.120000000000005 10.74 0.91
552 47.32999999999999 41.14 10.780000000000001 0.9299999999999999
576 47.23 41.23 10.76 0.96
600 47.199999999999996 41.24 10.76 0.98
624 47.169999999999995 41.25 10.74 1.0199999999999998
648 47.08 41.34 10.729999999999999 1.03
672 46.959999999999994 41.41000000000001 10.71 1.0999999999999999
696 46.9 41.43000000000001 10.71 1.14
720 46.88 41.44000000000001 10.700000000000001 1.16
744 46.849999999999994 41.47 10.68 1.18
768 46.78999999999999 41.52 10.669999999999998 1.2
792 46.78 41.52 10.65 1.23
816 46.74999999999999 41.529999999999994 10.64 1.26
840 46.67 41.61 10.59 1.31
864 46.66 41.61 10.569999999999999 1.34
888 46.57 41.67000000000001 10.52 1.4200000000000002
912 46.489999999999995 41.739999999999995 10.500000000000002 1.4500000000000002
936 46.449999999999996 41.75 10.489999999999998 1.4900000000000002
960 46.36 41.78000000000001 10.51 1.5300000000000002
984 46.3 41.830000000000005 10.51 1.5400000000000003
1008 46.239999999999995 41.88000000000001 10.48 1.58
1032 46.21000000000001 41.88000000000001 10.469999999999999 1.6200000000000003
1056 46.18000000000001 41.900000000000006 10.43 1.6700000000000004
1080 46.150000000000006 41.91 10.389999999999999 1.7300000000000002
