Geometry,Business,Rent Mean,Rent Str,Fam S D,Mat Woo D,Vil Code,Water,Women,Rent Min,Owner,Mat M D,Household,Empty,Tot Units,Busi C,Serv H,Rooms,Fam Up D,Mat Ir D,Elect D,Date,Service,Mat M,Busi P,Elect,Fam C,Mat Br,Pop D,Fam Sp D,No Info,Child D,Fam C D,Serv Edu,Toilet,Pop,Families,Child,Mat Woo,Sheet N,Busi S,Fam P,Women D,Structure,Pop R,Fam Up,Mat Ir,Rent Max,Fam P D,Str Code,Mat Br D,Serv O,Fam S,Fam Sp,latitude,longitude
0,1,500,1500,0,0,KIA,0,1,500,0,1,2,0,3,1,0,3,0.5,0,0.33,0,0,2,0,1,0,0,3.5,0.5,0,0.714,0,0,0,8,2,5,0,1,0,0,0.143,95,7,1,0,500,0,KIAS1S95S0,0,0,0,1,-1.308016173,36.7721529
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308093693,36.77205872
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308075113,36.77208435
0,1,1700,17000,0.3,0,KIA,4,7,1000,1,0.25,8,0,9,1,0,10,0,0,0.56,0,0,2,0,5,6,6,3.625,0.1,0,0.448,0.6,0,6,29,10,13,0,1,0,0,0.241,25,29,0,0,2400,0,KIAS1S25S0,0.75,0,3,1,-1.307987453,36.77228744
0,2,4000,12000,0,0,KIA,0,1,0,1,0.333,1,0,3,2,0,3,0,0,0.67,0,0,1,0,2,0,2,3,1,0,0.667,0,0,3,3,1,2,0,1,0,0,0.333,24,3,0,0,8000,0,KIAS1S24S0,0.667,0,0,1,-1.307956271,36.77239984
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.307949566,36.77247531
0,4,2100,8400,0,0,KIA,4,0,700,0,0,0,0,4,4,0,4,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,10,0,0,4,3500,0,KIAS1S10S0,0,0,0,0,-1.3079472,36.77256421
0,0,1400,8400,0.5,0,KIA,0,2,1300,0,1,6,0,6,0,0,6,0,0,0.67,0,0,6,0,4,2,0,1.833,0,0,0.455,0.5,0,6,14,4,5,0,1,0,0,0.182,23,11,0,0,1500,0,KIAS1S23S0,0,0,2,0,-1.308067105,36.77233933
0,0,1400,8400,0.571,0,KIA,0,6,700,0,0.8,5,0,6,0,0,6,0,0.2,0.67,0,0,4,0,4,3,0,4.2,0,1,0.524,0.429,0,1,21,7,11,0,1,0,0,0.286,21,21,0,1,2100,0,KIAS1S21S0,0,0,4,0,-1.308044493,36.77245401
0,0,700,2800,0.667,0,KIA,0,1,700,0,1,4,0,4,0,0,4,0,0,1,0,0,4,0,4,1,0,2,0,0,0.5,0.333,0,4,5,3,4,0,1,0,0,0.125,22,8,0,0,700,0,KIAS1S22S0,0,0,2,0,-1.308108748,36.77238226
0,0,1350,10800,0.333,0,KIA,0,4,1000,1,1,6,0,6,0,0,8,0,0,0.83,0,0,7,0,5,4,0,4.667,0,0,0.643,0.667,0,0,29,6,18,0,1,0,0,0.143,92,28,0,0,1700,0,KIAS1S92S0,0,0,2,0,-1.308121561,36.77224323
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308181414,36.77229346
0,0,800,2400,0,0,KIA,0,3,800,0,1,3,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,4,0,0,0.5,1,0,0,12,3,6,0,1,0,0,0.25,12,12,0,0,800,0,KIAS1S12S0,0,0,0,0,-1.308026103,36.77259752
0,0,600,3600,0.556,0,KIA,0,1,600,0,1,6,0,6,0,0,6,0.333,0,0,80802,0,6,0,0,1,0,2.667,0,0,0.375,0.111,0,0,14,9,6,0,1,0,0,0.063,91,16,3,0,600,0,KIAS1S91S8,0,0,5,0,-1.308172814,36.7721561
0,0,1150,6900,0,0,KIA,0,3,1000,0,0,5,0,5,0,0,6,0.2,1,0.8,0,0,0,0,4,3,0,2.8,0.2,0,0.429,0.6,0,0,15,5,6,0,1,0,0,0.214,90,14,1,5,1300,0,KIAS1S90S0,0,0,0,1,-1.308229193,36.77208563
0,0,1500,3000,0.333,0,KIA,0,0,1500,1,1,2,0,2,0,0,2,0.667,0,1,80802,0,2,0,2,0,0,1.5,0,0,0,0,0,0,3,3,0,0,1,0,0,0,93,3,2,0,1500,0,KIAS1S93S8,0,0,1,0,-1.30827849,36.77214649
0,0,1150,4600,0.4,0,KIA,0,2,800,0,0,4,0,4,0,0,4,0.4,1,0.25,80802,0,0,0,1,1,0,2.5,0,0,0.4,0.2,0,0,10,5,4,0,1,0,0,0.2,75,10,2,4,1500,0,KIAS1S75S8,0,0,2,0,-1.308238646,36.77223113
0,0,850,27200,0.351,0,KIA,0,24,700,0,1,32,0,32,0,0,32,0,0,0.03,0,0,32,0,1,17,0,3.219,0.189,0,0.476,0.459,0,1,102,37,49,0,1,0,0,0.233,26,103,0,0,1000,0,KIAS1S26S0,0,0,13,7,-1.308214457,36.77252192
0,0,1000,5000,0.4,0,KIA,0,3,1000,0,1,5,0,5,0,0,5,0,0,0,0,0,5,0,0,3,0,3,0,0,0.467,0.6,0,0,15,5,7,0,1,0,0,0.2,27,15,0,0,1000,0,KIAS1S27S0,0,0,2,0,-1.308235599,36.77239699
0,0,800,800,0,0,KIA,0,0,800,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,2,0,3,0,1,0,0,0,15,3,0,0,800,0,KIAS1S15S0,0,0,0,0,-1.308049308,36.77253602
0,0,1800,23400,0.25,0,KIA,0,10,1200,1,0,11,0,11,0,0,13,0,1,0,0,0,0,0,0,8,0,3.727,0.083,0,0.512,0.667,0,0,41,12,21,0,1,0,0,0.244,14,41,0,13,2400,0,KIAS1S14S0,0,0,3,1,-1.308215528,36.77268217
0,0,0,0,0.667,0,KIA,0,2,0,1,0,2,0,2,0,0,2,0,0,0.5,0,0,0,0,1,1,3,3.5,0,0,0.429,0.333,0,0,4,3,3,0,1,0,0,0.286,16,7,0,0,0,0,KIAS1S16S0,1,0,2,0,-1.308112209,36.77268092
0,0,1000,3000,0,0,KIA,0,1,1000,0,1,3,0,3,0,0,3,0,0,0,0,0,3,0,0,1,0,3.333,0.5,0,0.7,0.5,0,0,6,2,7,0,1,0,0,0.1,17,10,0,0,1000,0,KIAS1S17S0,0,0,0,1,-1.308090169,36.77271987
0,0,1000,4000,0.8,0,KIA,0,1,1000,0,1,4,0,4,0,0,4,0,0,0,0,0,4,0,0,1,0,2.25,0,0,0.333,0.2,0,0,9,5,3,0,1,0,0,0.111,28,9,0,0,1000,0,KIAS1S28S0,0,0,4,0,-1.308348996,36.77248861
0,0,750,4500,0.429,0,KIA,0,2,500,0,0.833,6,0,6,0,0,6,0,0,0,80730,0,5,0,0,3,1,2.5,0.143,0,0.333,0.429,0,0,15,7,5,0,1,0,0,0.133,30,15,0,0,1000,0,KIAS1S30S8,0.167,0,3,1,-1.308348696,36.77240981
0,0,1650,8250,0,0,KIA,0,5,1500,0,0,5,0,5,0,0,5,0,1,0.4,80802,0,0,0,2,4,0,3.4,0.2,0,0.471,0.8,0,0,17,5,8,0,1,0,0,0.294,84,17,0,5,1800,0,KIAS1S84S8,0,0,0,1,-1.308407617,36.77214521
0,0,0,0,0,0,KIA,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308261648,36.77194334
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308283329,36.7719197
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308295501,36.7719402
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.30831408,36.77197223
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308322409,36.7719434
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308309596,36.77190304
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308343551,36.77196198
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308411461,36.77195365
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308473605,36.77191522
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308463355,36.77195814
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308395444,36.77200747
0,0,0,0,0,0,KIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KIAS0S0S0,0,0,0,0,-1.308370459,36.77201324
